term_id,term_str,n,num,stop,p_stem,pos_max
175,actuated,2,0,0,actuat,VBN
176,acute,10,0,0,acut,JJ
177,acutely,7,0,0,acut,RB
178,acuteness,2,0,0,acut,NN
179,acutest,1,0,0,acutest,JJS
180,adapted,9,0,0,adapt,VBN
181,adapting,1,0,0,adapt,VBG
182,add,27,0,0,add,VB
183,added,138,0,0,ad,VBD
184,addedwhatever,1,0,0,addedwhatev,RB
185,addicted,5,0,0,addict,VBN
186,adding,15,0,0,ad,VBG
187,addition,31,0,0,addit,NN
188,additional,5,0,0,addit,JJ
189,additions,1,0,0,addit,VB
190,address,42,0,0,address,NN
191,addressed,33,0,0,address,VBD
192,addresses,12,0,0,address,NNS
193,addressing,19,0,0,address,VBG
194,adds,3,0,0,add,VBZ
195,adept,1,0,0,adept,NN
196,adequate,1,0,0,adequ,JJ
197,adequately,1,0,0,adequ,RB
198,adhered,1,0,0,adher,VBD
199,adhering,2,0,0,adher,VBG
200,adieu,9,0,0,adieu,NN
201,adieus,5,0,0,adieu,NN
202,adjoining,1,0,0,adjoin,VBD
203,adjourned,2,0,0,adjourn,VBD
204,adjusted,1,0,0,adjust,RB
205,adjusting,1,0,0,adjust,VBG
206,administer,1,0,0,administ,VB
207,administered,1,0,0,administ,VBN
208,administering,2,0,0,administ,VBG
209,admirable,4,0,0,admir,JJ
210,admirably,4,0,0,admir,RB
211,admiral,29,0,0,admir,NNP
212,admirals,8,0,0,admir,NNP
213,admiration,62,0,0,admir,NN
214,admire,35,0,0,admir,VB
215,admired,28,0,0,admir,VBD
216,admirer,8,0,0,admir,NN
217,admirers,1,0,0,admir,NN
218,admires,2,0,0,admir,VBZ
219,admiring,8,0,0,admir,VBG
220,admission,2,0,0,admiss,NN
221,admit,25,0,0,admit,VB
222,admittance,2,0,0,admitt,NN
223,admitted,26,0,0,admit,VBN
224,admitting,7,0,0,admit,VBG
225,admonitions,1,0,0,admonit,NN
226,adopt,7,0,0,adopt,VB
227,adopted,2,0,0,adopt,VBN
228,adoration,1,0,0,ador,NN
229,adored,1,0,0,ador,VBZ
230,adorned,4,0,0,adorn,JJ
231,advance,12,0,0,advanc,VB
232,advanced,17,0,0,advanc,VBD
233,advancement,3,0,0,advanc,NN
234,advances,4,0,0,advanc,NNS
235,advancing,5,0,0,advanc,VBG
236,advantage,88,0,0,advantag,NN
237,advantageous,8,0,0,advantag,JJ
238,advantageously,3,0,0,advantag,RB
239,advantages,16,0,0,advantag,NNS
240,adventure,4,0,0,adventur,NN
241,adventures,4,0,0,adventur,NN
242,adverse,2,0,0,advers,JJ
243,advertised,2,0,0,advertis,JJ
244,advertisement,1,0,0,advertis,NN
245,advertisements,2,0,0,advertis,NNS
246,advice,41,0,0,advic,NN
247,advisable,6,0,0,advis,JJ
248,advise,22,0,0,advis,VB
249,advised,6,0,0,advis,VBD
250,adviser,4,0,0,advis,NN
251,advisers,1,0,0,advis,NNS
252,advising,2,0,0,advis,VBG
253,advocate,4,0,0,advoc,NN
254,affability,5,0,0,affabl,NN
255,affable,1,0,0,affabl,JJ
256,affair,29,0,0,affair,NN
257,affairs,12,0,0,affair,NN
258,affect,10,0,0,affect,VB
259,affectation,4,0,0,affect,NN
260,affected,41,0,0,affect,JJ
261,affectedelizabeth,1,0,0,affectedelizabeth,NN
262,affectedly,2,0,0,affectedli,JJ
263,affecting,2,0,0,affect,VBG
264,affection,134,0,0,affect,NN
265,affectionate,46,0,0,affection,JJ
266,affectionately,10,0,0,affection,RB
267,affections,22,0,0,affect,NNS
268,affinity,2,0,0,affin,NN
269,affirm,1,0,0,affirm,VB
270,affirmative,3,0,0,affirm,NN
271,afflicted,4,0,0,afflict,JJ
272,afflicting,1,0,0,afflict,VBG
273,affliction,7,0,0,afflict,NN
274,affluence,3,0,0,affluenc,NN
275,affluent,1,0,0,affluent,JJ
276,afford,20,0,0,afford,VB
277,afforded,20,0,0,afford,VBD
278,affording,5,0,0,afford,VBG
279,affords,1,0,0,afford,VBZ
280,affrighted,2,0,0,affright,JJ
281,affront,8,0,0,affront,NN
282,affronted,4,0,0,affront,VBN
283,affronts,1,0,0,affront,NN
284,afloat,1,0,0,afloat,NN
285,afraid,95,0,0,afraid,JJ
286,afresh,1,0,0,afresh,NN
287,after,519,0,1,after,IN
288,afternoon,12,0,0,afternoon,NN
289,afternoons,1,0,0,afternoon,JJ
290,afterpiece,2,0,0,afterpiec,NN
291,afterthe,1,0,0,afterth,JJ
292,afterward,1,0,0,afterward,JJ
293,afterwards,83,0,0,afterward,NNS
294,again,499,0,1,again,RB
295,againat,1,0,0,againat,JJ
296,againbut,1,0,0,againbut,JJ
297,againshe,1,0,0,againsh,NN
298,against,153,0,1,against,IN
299,agatha,16,0,0,agatha,NNP
300,agathas,2,0,0,agatha,NNP
301,age,45,0,0,age,NN
302,agent,1,0,0,agent,NN
303,ages,4,0,0,age,NNS
304,aggravated,1,0,0,aggrav,VBD
305,aggravation,3,0,0,aggrav,NN
306,aggregate,1,0,0,aggreg,NN
307,aghast,3,0,0,aghast,JJ
308,agitated,32,0,0,agit,JJ
309,agitating,4,0,0,agit,VBG
310,agitation,48,0,0,agit,NN
311,agitations,3,0,0,agit,NNS
312,ago,63,0,0,ago,RB
313,agonies,3,0,0,agoni,NN
314,agony,5,0,0,agoni,NN
315,agree,19,0,0,agre,VB
316,agreeable,128,0,0,agreeabl,JJ
317,agreeableallowing,1,0,0,agreeableallow,JJ
318,agreeablelooking,1,0,0,agreeablelook,JJ
319,agreeableness,6,0,0,agreeabl,NN
320,agreeably,4,0,0,agreeabl,RB
321,agreed,37,0,0,agre,VBD
322,agreeing,9,0,0,agre,VBG
323,agreement,6,0,0,agreement,NN
324,agricola,1,0,0,agricola,NNP
325,ague,1,0,0,agu,NN
326,ah,20,0,0,ah,NN
327,aid,3,0,0,aid,NN
328,aim,4,0,0,aim,NN
329,aimed,4,0,0,aim,NN
330,aiming,2,0,0,aim,VBG
331,air,89,0,0,air,NN
332,airing,3,0,0,air,NN
333,airs,6,0,0,air,NN
334,airy,1,0,0,airi,NN
335,aisles,1,0,0,aisl,JJ
336,akin,2,0,0,akin,JJ
337,alacrity,12,0,0,alacr,NN
338,alarm,55,0,0,alarm,NN
339,alarmed,14,0,0,alarm,VBN
340,alarming,18,0,0,alarm,VBG
341,alarmingly,3,0,0,alarmingli,RB
342,alarms,8,0,0,alarm,NNS
343,alas,13,0,0,ala,NN
344,albion,1,0,0,albion,NNP
345,alcove,1,0,0,alcov,NN
346,alehouses,1,0,0,alehous,JJ
347,alert,1,0,0,alert,JJ
348,alertness,1,0,0,alert,NN
349,alfred,1,0,0,alfr,NNP
350,algebra,1,0,0,algebra,NN
351,alice,1,0,0,alic,VB
352,alienate,1,0,0,alien,VB
353,alienated,3,0,0,alien,VBN
354,alight,2,0,0,alight,VBN
355,alighted,1,0,0,alight,VBD
356,alike,12,0,0,alik,RB
357,alive,10,0,0,aliv,JJ
358,all,1843,0,1,all,DT
359,alland,2,0,0,alland,NN
360,allayed,1,0,0,allay,VBN
361,allconquering,1,0,0,allconqu,JJ
362,alleged,1,0,0,alleg,NN
363,allen,116,0,0,allen,NNP
364,allens,33,0,0,allen,NNP
365,alleviate,1,0,0,allevi,VB
366,alleviated,1,0,0,allevi,VBN
367,alleviation,1,0,0,allevi,NN
368,alley,1,0,0,alley,NN
369,alli,1,0,0,alli,JJ
370,alliance,8,0,0,allianc,NN
371,alliances,1,0,0,allianc,NN
372,allied,1,0,0,alli,JJ
373,allies,1,0,0,alli,NNS
374,allot,1,0,0,allot,NN
375,allow,78,0,0,allow,VB
376,allowable,5,0,0,allow,JJ
377,allowably,1,0,0,allow,RB
378,allowance,7,0,0,allow,NN
379,allowances,3,0,0,allow,NNS
380,allowed,67,0,0,allow,VBN
381,allowing,15,0,0,allow,VBG
382,allows,1,0,0,allow,VBZ
383,alloy,3,0,0,alloy,NN
384,alloyed,1,0,0,alloy,VBN
385,allpowerful,1,0,0,allpow,JJ
386,allto,1,0,0,allto,JJ
387,allude,2,0,0,allud,VBP
388,alluded,7,0,0,allud,VBN
389,alluding,3,0,0,allud,VBG
390,allurements,1,0,0,allur,NNS
391,allusion,9,0,0,allus,NN
392,allusions,1,0,0,allus,NNS
393,allwhat,1,0,0,allwhat,JJ
394,ally,1,0,0,alli,NN
395,almost,244,0,0,almost,RB
396,almshouses,1,0,0,almshous,JJ
397,alone,93,0,0,alon,RB
398,along,32,0,0,along,IN
399,aloof,2,0,0,aloof,JJ
400,aloud,25,0,0,aloud,NN
401,alphabet,1,0,0,alphabet,NN
402,alps,2,0,0,alp,NNP
403,already,101,0,0,alreadi,RB
404,also,57,0,0,also,RB
405,altar,2,0,0,altar,NN
406,alter,3,0,0,alter,VBP
407,alteration,18,0,0,alter,NN
408,alterations,4,0,0,alter,NNS
409,altercation,1,0,0,alterc,NN
410,altered,21,0,0,alter,JJ
411,alteredwhat,1,0,0,alteredwhat,WP
412,altering,2,0,0,alter,VBG
413,alternate,1,0,0,altern,JJ
414,alternately,2,0,0,altern,RB
415,alternation,1,0,0,altern,NN
416,alternative,4,0,0,altern,NN
417,although,4,0,0,although,IN
418,altogether,44,0,0,altogeth,RB
419,always,341,0,0,alway,RB
420,am,857,0,1,am,VBP
421,amand,1,0,0,amand,VBP
422,amaze,1,0,0,amaz,VB
423,amazed,12,0,0,amaz,VBN
424,amazement,15,0,0,amaz,NN
425,amazes,1,0,0,amaz,VBZ
426,amazing,8,0,0,amaz,JJ
427,amazingbut,1,0,0,amazingbut,JJ
428,amazingly,17,0,0,amazingli,RB
429,amber,1,0,0,amber,NN
430,ambiguous,1,0,0,ambigu,NN
431,ambition,10,0,0,ambit,NN
432,ambitious,4,0,0,ambiti,JJ
433,amelia,16,0,0,amelia,NNP
434,amenable,1,0,0,amen,NN
435,amendment,8,0,0,amend,NN
436,amends,9,0,0,amend,NNS
437,amendsbut,1,0,0,amendsbut,NN
438,amendsof,1,0,0,amendsof,JJ
439,america,1,0,0,america,NNP
440,amiable,59,0,0,amiabl,JJ
441,amiablebut,1,0,0,amiablebut,JJ
442,amiableness,1,0,0,amiabl,JJ
443,amid,5,0,0,amid,IN
444,amidst,7,0,0,amidst,NN
445,amiss,6,0,0,amiss,NN
446,amity,1,0,0,amiti,NN
447,among,87,0,0,among,IN
448,amongst,24,0,0,amongst,JJ
449,amore,2,0,0,amor,NNP
450,amount,4,0,0,amount,NN
451,amounting,2,0,0,amount,VBG
452,ample,5,0,0,ampl,JJ
453,amplifying,1,0,0,amplifi,NN
454,amply,3,0,0,ampli,JJ
455,amuse,11,0,0,amus,VB
456,amused,16,0,0,amus,VBN
457,amusement,33,0,0,amus,NN
458,amusements,10,0,0,amus,NNS
459,amuses,1,0,0,amus,NNS
460,amusing,13,0,0,amus,VBG
461,an,1120,0,1,an,DT
462,ancestor,1,0,0,ancestor,NN
463,anchor,1,0,0,anchor,NN
464,ancient,10,0,0,ancient,NN
465,ancle,1,0,0,ancl,NN
466,ancles,2,0,0,ancl,NN
467,and,11250,0,1,and,CC
468,anderson,7,0,0,anderson,NNP
469,andersons,1,0,0,anderson,NNP
470,andrews,6,0,0,andrew,NNP
471,anecdote,3,0,0,anecdot,NN
472,anecdotes,2,0,0,anecdot,NNS
473,anew,2,0,0,anew,RB
474,angel,9,0,0,angel,NN
475,angelic,1,0,0,angel,JJ
476,anger,34,0,0,anger,NN
477,angrily,4,0,0,angrili,RB
478,angry,60,0,0,angri,JJ
479,anguish,3,0,0,anguish,JJ
480,anhalt,16,0,0,anhalt,NNP
481,anhalts,1,0,0,anhalt,NNP
482,animal,6,0,0,anim,NN
483,animals,2,0,0,anim,NN
484,animate,3,0,0,anim,VB
485,animated,12,0,0,anim,JJ
486,animating,3,0,0,anim,JJ
487,animation,20,0,0,anim,NN
488,animosities,1,0,0,animos,NNS
489,ankledeep,1,0,0,ankledeep,JJ
490,ankles,1,0,0,ankl,NN
491,anne,11,0,0,ann,NNP
492,annes,2,0,0,ann,NNP
493,annesley,3,0,0,annesley,NNP
494,annexed,1,0,0,annex,VBN
495,annihilation,2,0,0,annihil,NN
496,announce,7,0,0,announc,VB
497,announced,7,0,0,announc,VBD
498,annoyance,1,0,0,annoy,NN
499,annoyed,1,0,0,annoy,NN
500,annual,1,0,0,annual,JJ
501,annum,2,0,0,annum,NN
502,another,210,0,0,anoth,DT
503,answer,147,0,0,answer,NN
504,answerable,4,0,0,answer,JJ
505,answerand,1,0,0,answerand,NN
506,answerbut,1,0,0,answerbut,JJ
507,answered,69,0,0,answer,VBD
508,answering,12,0,0,answer,VBG
509,answers,5,0,0,answer,NNS
510,antagonist,1,0,0,antagonist,NN
511,antechamber,1,0,0,antechamb,NN
512,anthony,1,0,0,anthoni,NNP
513,antichamber,1,0,0,antichamb,JJ
514,anticipate,1,0,0,anticip,VB
515,anticipated,7,0,0,anticip,VBD
516,anticipating,2,0,0,anticip,VBG
517,anticipation,3,0,0,anticip,NN
518,anticipations,2,0,0,anticip,NN
519,antigua,9,0,0,antigua,NNP
520,antique,1,0,0,antiqu,NN
521,antiquity,2,0,0,antiqu,NN
522,antwerp,3,0,0,antwerp,NNP
523,antwerps,1,0,0,antwerp,NNP
524,anxieties,4,0,0,anxieti,NNS
525,anxiety,48,0,0,anxieti,NN
526,anxious,86,0,0,anxiou,JJ
527,anxiously,9,0,0,anxious,RB
528,anxiousness,1,0,0,anxious,NN
529,any,952,0,1,ani,DT
530,anybody,67,0,0,anybodi,NN
531,anybodys,6,0,0,anybodi,JJ
532,anyhow,2,0,0,anyhow,RB
533,anyone,6,0,0,anyon,NN
534,anyones,2,0,0,anyon,JJ
535,anything,227,0,0,anyth,NN
536,anywhere,12,0,0,anywher,RB
537,anywise,1,0,0,anywis,JJ
538,apace,1,0,0,apac,NN
539,apart,5,0,0,apart,NN
540,apartment,23,0,0,apart,NN
541,apartments,11,0,0,apart,NNS
542,apologies,7,0,0,apolog,NNS
543,apologise,4,0,0,apologis,VB
544,apologised,2,0,0,apologis,VBD
545,apologising,3,0,0,apologis,VBG
546,apologize,3,0,0,apolog,VB
547,apologizing,2,0,0,apolog,VBG
548,apology,16,0,0,apolog,NN
549,apoplectic,1,0,0,apoplect,JJ
550,apoplexy,1,0,0,apoplexi,NN
551,apostrophe,1,0,0,apostroph,NN
552,apothecary,2,0,0,apothecari,JJ
553,appalled,1,0,0,appal,VBN
554,appalling,2,0,0,appal,JJ
555,apparel,1,0,0,apparel,NN
556,apparent,12,0,0,appar,JJ
557,apparently,7,0,0,appar,RB
558,appeal,8,0,0,appeal,NN
559,appealed,1,0,0,appeal,VBN
560,appeals,1,0,0,appeal,NNS
561,appear,81,0,0,appear,VB
562,appearance,95,0,0,appear,NN
563,appearances,4,0,0,appear,NNS
564,appeared,93,0,0,appear,VBD
565,appearing,19,0,0,appear,VBG
566,appears,13,0,0,appear,VBZ
567,appease,1,0,0,appeas,JJ
568,appeased,3,0,0,appeas,JJ
569,appertain,1,0,0,appertain,VB
570,appertaining,1,0,0,appertain,VBG
571,appetite,5,0,0,appetit,NN
572,apple,1,0,0,appl,NN
573,applicable,1,0,0,applic,JJ
574,application,18,0,0,applic,NN
575,applied,33,0,0,appli,VBN
576,applies,1,0,0,appli,VBZ
577,apply,13,0,0,appli,VB
578,applying,3,0,0,appli,VBG
579,appointed,6,0,0,appoint,VBN
580,appointment,6,0,0,appoint,NN
581,appreciate,2,0,0,appreci,VB
582,appreciated,1,0,0,appreci,VBN
583,apprehend,1,0,0,apprehend,VBP
584,apprehended,4,0,0,apprehend,JJ
585,apprehending,1,0,0,apprehend,VBG
586,apprehension,22,0,0,apprehens,NN
587,apprehensions,4,0,0,apprehens,NNS
588,apprehensive,5,0,0,apprehens,JJ
589,apprehensively,1,0,0,apprehens,RB
590,apprised,1,0,0,appris,VBN
591,approach,22,0,0,approach,NN
592,approached,16,0,0,approach,VBD
593,approaches,2,0,0,approach,NNS
594,approaching,23,0,0,approach,VBG
595,approbation,23,0,0,approb,NN
596,appropriate,4,0,0,appropri,JJ
597,appropriated,1,0,0,appropri,VBN
598,appropriating,1,0,0,appropri,VBG
599,approval,1,0,0,approv,NN
600,approve,15,0,0,approv,VB
601,approved,8,0,0,approv,VBD
602,approving,3,0,0,approv,VBG
603,apricot,4,0,0,apricot,NN
604,april,7,0,0,april,NNP
605,apron,1,0,0,apron,NN
606,apropos,1,0,0,apropo,JJ
607,apt,9,0,0,apt,JJ
608,aptitude,1,0,0,aptitud,NN
609,arbiters,1,0,0,arbit,NNS
610,arbitrary,1,0,0,arbitrari,JJ
611,arch,8,0,0,arch,NN
612,archbishop,1,0,0,archbishop,NNP
613,arches,2,0,0,arch,JJ
614,architecture,1,0,0,architectur,NN
615,archly,5,0,0,archli,NN
616,archness,2,0,0,arch,NN
617,archway,1,0,0,archway,NN
618,arcturus,1,0,0,arcturu,NNP
619,ardent,3,0,0,ardent,JJ
620,ardently,2,0,0,ardent,RB
621,ardour,3,0,0,ardour,NN
622,ardours,1,0,0,ardour,NN
623,are,936,0,1,are,VBP
624,area,1,0,0,area,NN
625,areyou,1,0,0,arey,JJ
626,argue,3,0,0,argu,VB
627,argued,2,0,0,argu,VBN
628,arguing,2,0,0,argu,VBG
629,argument,9,0,0,argument,NN
630,arguments,6,0,0,argument,NNS
631,argyle,2,0,0,argyl,NNP
632,aright,1,0,0,aright,RP
633,arise,20,0,0,aris,VB
634,arisen,7,0,0,arisen,VBN
635,arising,10,0,0,aris,VBG
636,arm,34,0,0,arm,NN
637,arming,1,0,0,arm,VBG
638,arms,4,0,0,arm,NNS
639,army,7,0,0,armi,NN
640,aromatic,2,0,0,aromat,JJ
641,arose,17,0,0,aros,VBP
642,around,23,0,0,around,IN
643,arrange,3,0,0,arrang,VB
644,arranged,12,0,0,arrang,VBN
645,arrangement,24,0,0,arrang,NN
646,arrangements,9,0,0,arrang,NNS
647,arranges,1,0,0,arrang,VBZ
648,arranging,6,0,0,arrang,VBG
649,array,1,0,0,array,NN
650,arrear,1,0,0,arrear,NN
651,arrested,2,0,0,arrest,VBN
652,arrival,59,0,0,arriv,NN
653,arrivals,3,0,0,arriv,NN
654,arrive,4,0,0,arriv,VB
655,arrived,42,0,0,arriv,VBD
656,arriving,3,0,0,arriv,NN
657,arrogance,2,0,0,arrog,FW
658,arrogant,1,0,0,arrog,NN
659,art,6,0,0,art,NN
660,artful,2,0,0,art,JJ
661,artfully,2,0,0,art,RB
662,article,8,0,0,articl,NN
663,articles,5,0,0,articl,NNS
664,articulate,1,0,0,articul,RB
665,artifice,1,0,0,artific,NN
666,artificial,3,0,0,artifici,JJ
667,artless,5,0,0,artless,NN
668,artlessly,1,0,0,artlessli,RB
669,arts,5,0,0,art,NNS
670,as,3574,0,1,as,IN
671,ascend,1,0,0,ascend,VB
672,ascended,6,0,0,ascend,VBD
673,ascending,3,0,0,ascend,VBG
674,ascends,1,0,0,ascend,NNS
675,ascertain,5,0,0,ascertain,VB
676,ascertained,8,0,0,ascertain,JJ
677,ascertaining,2,0,0,ascertain,VBG
678,ascribed,1,0,0,ascrib,VBN
679,ashamed,50,0,0,asham,VBN
680,ashes,1,0,0,ash,NNS
681,ashore,2,0,0,ashor,NN
682,ashworth,1,0,0,ashworth,NNP
683,asia,1,0,0,asia,NNP
684,aside,9,0,0,asid,RB
685,ask,82,0,0,ask,VB
686,asked,94,0,0,ask,VBD
687,asking,29,0,0,ask,VBG
688,asleep,6,0,0,asleep,JJ
689,aspect,12,0,0,aspect,NN
690,asperity,1,0,0,asper,NN
691,aspire,1,0,0,aspir,VB
692,aspired,2,0,0,aspir,VBD
693,aspiring,1,0,0,aspir,VBG
694,assail,1,0,0,assail,VB
695,assailed,1,0,0,assail,VBD
696,assassins,1,0,0,assassin,NNS
697,assemble,1,0,0,assembl,VB
698,assembled,10,0,0,assembl,JJ
699,assemblies,5,0,0,assembl,NN
700,assembling,3,0,0,assembl,VBG
701,assembly,13,0,0,assembl,NN
702,assemblyi,1,0,0,assemblyi,JJ
703,assent,3,0,0,assent,NN
704,assented,5,0,0,assent,VBD
705,assenting,1,0,0,assent,VBG
706,assents,1,0,0,assent,NNS
707,assert,7,0,0,assert,VB
708,asserted,4,0,0,assert,VBD
709,asserting,3,0,0,assert,NN
710,assertion,4,0,0,assert,NN
711,assertions,4,0,0,assert,NNS
712,assiduities,1,0,0,assidu,NN
713,assiduous,2,0,0,assidu,JJ
714,assiduously,1,0,0,assidu,RB
715,assign,1,0,0,assign,NN
716,assignment,1,0,0,assign,NN
717,assist,22,0,0,assist,VB
718,assistance,24,0,0,assist,NN
719,assistant,3,0,0,assist,NN
720,assisted,10,0,0,assist,VBN
721,assisting,7,0,0,assist,VBG
722,associate,2,0,0,associ,VB
723,associates,1,0,0,associ,NN
724,associating,1,0,0,associ,VBG
725,association,1,0,0,associ,NN
726,associations,4,0,0,associ,NN
727,assume,3,0,0,assum,VB
728,assumed,3,0,0,assum,JJ
729,assuming,2,0,0,assum,JJ
730,assurance,25,0,0,assur,NN
731,assurances,14,0,0,assur,NNS
732,assure,76,0,0,assur,VBP
